title,publisher,categories,review_score,review_summary
Economics in one lesson,Currency,business economics,1.0,Wanted to cast my 5-Star vote
Economics in one lesson,Currency,business economics,0.5,Good for the person that hasn't studied economics
Economics in one lesson,Currency,business economics,0.75,"Very Good, But Be Aware of What You're Getting"
Economics in one lesson,Currency,business economics,1.0,The only lesson the average person will ever need
Economics in one lesson,Currency,business economics,0.75,Good But Some Holes
Economics in one lesson,Currency,business economics,0.75,Choose some alternatives and map them to the real world
Economics in one lesson,Currency,business economics,0.5,Good book.. but a little misleading.
Economics in one lesson,Currency,business economics,1.0,Extraordinary Reading
Economics in one lesson,Currency,business economics,0.75,3.5 Stars-A useful supplementary text for lower division microeconomic principles courses only
Economics in one lesson,Currency,business economics,1.0,You MUST READ this Book!
Economics in one lesson,Currency,business economics,1.0,A Must Read For People Who Still Do That Sort of Thing
Economics in one lesson,Currency,business economics,1.0,It's a must read
Economics in one lesson,Currency,business economics,1.0,Outstanding Work!
Economics in one lesson,Currency,business economics,1.0,The best book on Economics
Economics in one lesson,Currency,business economics,1.0,The best book on Economics...
Economics in one lesson,Currency,business economics,1.0,A lesson we seem to have forgotten
Economics in one lesson,Currency,business economics,1.0,Must Reading
Economics in one lesson,Currency,business economics,1.0,Excellent book!
Economics in one lesson,Currency,business economics,1.0,Well Written
Economics in one lesson,Currency,business economics,0.0,Read this if You're Stupid and wish to be Fanatically Stupid
Economics in one lesson,Currency,business economics,0.25,Don't waste your money.
Economics in one lesson,Currency,business economics,0.25,More of a personal opinion than that of economics
Economics in one lesson,Currency,business economics,0.75,Idealistic Free Market Economics.. not convincing
Economics in one lesson,Currency,business economics,1.0,this book has two covers and some pages in the middle
Economics in one lesson,Currency,business economics,0.5,libertarian economics polemic
Economics in one lesson,Currency,business economics,0.25,Misleading title
Economics in one lesson,Currency,business economics,0.5,Very old book - Thatcher and Reagan revisited
Economics in one lesson,Currency,business economics,0.0,Not what it claims to Be
Economics in one lesson,Currency,business economics,0.5,A Political pamphlet all the way
Economics in one lesson,Currency,business economics,0.75,"""Winners"" vs. ""Losers"""
Economics in one lesson,Currency,business economics,0.5,An Anachronism
Economics in one lesson,Currency,business economics,1.0,"If you don't accept the lesson, then you are a retard"
Economics in one lesson,Currency,business economics,1.0,"a brilliant, well-written economics primer"
Economics in one lesson,Currency,business economics,0.5,book
Economics in one lesson,Currency,business economics,0.75,A Good Read
Economics in one lesson,Currency,business economics,0.75,Don't buy the audio version from audible
Economics in one lesson,Currency,business economics,0.75,Need More Than One Lesson
Economics in one lesson,Currency,business economics,0.25,beware of free market economists bearing grifts
Economics in one lesson,Currency,business economics,0.5,To review this book
Economics in one lesson,Currency,business economics,0.75,Economics in One Lesson
Economics in one lesson,Currency,business economics,1.0,A Beginning
Economics in one lesson,Currency,business economics,1.0,Economics in a nutshell - never boring again!
Economics in one lesson,Currency,business economics,1.0,A Must for Every School Child
Economics in one lesson,Currency,business economics,1.0,In Defense of the Free Market Economy
Economics in one lesson,Currency,business economics,1.0,Required reading
Economics in one lesson,Currency,business economics,1.0,Amazing!
Economics in one lesson,Currency,business economics,1.0,Still relevant today -- unfortunately
Economics in one lesson,Currency,business economics,1.0,Easy to understand
Economics in one lesson,Currency,business economics,1.0,Great Title
Economics in one lesson,Currency,business economics,1.0,Economics for the Beginner
Economics in one lesson,Currency,business economics,1.0,Great economics starter!
Economics in one lesson,Currency,business economics,1.0,Short and Sweet.
Economics in one lesson,Currency,business economics,1.0,Explains why economics and politics don't mix!
Economics in one lesson,Currency,business economics,0.75,Available for Free
Economics in one lesson,Currency,business economics,0.5,Hard to read
Economics in one lesson,Currency,business economics,1.0,Every nutty Liberal should read this
Economics in one lesson,Currency,business economics,1.0,A must read for all- should be a school requirement
Economics in one lesson,Currency,business economics,1.0,Simplifed Economics anyone can understand
Economics in one lesson,Currency,business economics,1.0,Read it
Economics in one lesson,Currency,business economics,1.0,Want to learn Economics start with this book!
Economics in one lesson,Currency,business economics,1.0,STILL the best guide to clear economic reasoning
Economics in one lesson,Currency,business economics,1.0,A Must Read for New Economists and Non Economists
Economics in one lesson,Currency,business economics,1.0,"If you read only one economics book, read this"
Economics in one lesson,Currency,business economics,1.0,Splendid
Economics in one lesson,Currency,business economics,1.0,economics for non-economists.
Economics in one lesson,Currency,business economics,1.0,Mandatory Reading
Economics in one lesson,Currency,business economics,1.0,All politicians need to read.
Economics in one lesson,Currency,business economics,1.0,Interested in economics? Start right here!
Economics in one lesson,Currency,business economics,0.75,Understanding Economics and Debunking the Many Myths
Economics in one lesson,Currency,business economics,1.0,Terrific Book
Economics in one lesson,Currency,business economics,1.0,Students Love Hazlitt!
Economics in one lesson,Currency,business economics,1.0,I've missed my life's calling.
Economics in one lesson,Currency,business economics,1.0,An excellent primer in basic economics
Economics in one lesson,Currency,business economics,1.0,A life-changing (or at least mind-changing) book
Economics in one lesson,Currency,business economics,1.0,Put This Book In Your Children's Hands
Economics in one lesson,Currency,business economics,1.0,One simple lesson
Economics in one lesson,Currency,business economics,1.0,"Become an economist, the easy way."
Economics in one lesson,Currency,business economics,1.0,WARNING ! ! ! Warning for Progressives
Economics in one lesson,Currency,business economics,0.75,"Great Book, but Where is the MISSING CHAPTER?"
Economics in one lesson,Currency,business economics,0.5,Set your expectations before you buy this
